ts,mid,top_usd,top_bps,s0.1_usd,s0.1_bps,s1_usd,s1_bps,s5_usd,s5_bps,s10_usd,s10_bps
2025-08-23T14:33:00.210323Z,115043.575,0.01,0.0008692358525888994670063060888,10.083018918,0.8764521545857732602624701119,18.5279650553,1.610517150158103136137763452,32.15696232306,2.795198456155417631971190047,50.32207878825,4.374175505955026171604976636
2025-08-23T14:33:00.269897Z,115043.575,0.01,0.0008692358525888994670063060888,11.257891526,0.9785762938955956471276209906,18.6326703169,1.619618506891845111732663037,32.09190579324,2.789543509338961345733562261,50.99520422660,4.432685982385370065212246751
2025-08-23T14:33:00.326864Z,115043.575,0.01,0.0008692358525888994670063060888,8.663908914,0.7530980251613356069645784217,18.2611494417,1.587324580420940500153963400,31.96585982474,2.778587141849512239166767896,49.92797107850,4.339918250845386193883491538
2025-08-23T14:33:00.340132Z,115043.575,0.01,0.0008692358525888994670063060888,9.477600791,0.8238270404062112986318444989,18.3576698893,1.595714483777125319688648410,31.99139131678,2.780806430674637849180191071,49.94368884280,4.341284495270596380545371612
2025-08-23T14:33:00.411644Z,115043.575,0.01,0.0008692358525888994670063060888,9.477600791,0.8238270404062112986318444989,18.2077582123,1.582683623340112648620316258,31.8789358327,2.771031396816380228100526257,49.76418762532,4.325681605888899054119276109
2025-08-23T14:33:00.499317Z,115043.575,0.01,0.0008692358525888994670063060888,9.799902596,0.8518426688322229207498115388,18.2929316014,1.590087199689335106284727330,31.94866596326,2.777092589765225915484632671,49.79675699319,4.328512652113775149981213640
2025-08-23T14:33:00.554260Z,115043.575,0.01,0.0008692358525888994670063060888,9.304406848,0.8087724019355274729597024432,18.0308513925,1.567306248306348268471316195,31.79218306732,2.763490535418427321995165745,49.61443805140,4.312664836032781491708685166
2025-08-23T14:33:00.617834Z,115043.575,0.01,0.0008692358525888994670063060888,9.174070196,0.7974430728530472040702838033,18.1257143529,1.575552076932588369233136227,31.8560618398,2.769043107344325834797814654,49.68779857224,4.319041595520653804438883267
2025-08-23T14:33:00.661941Z,115043.575,0.01,0.0008692358525888994670063060888,9.092087506,0.7903168435090790598258094813,18.2125480056,1.583099969346397658452460296,31.8958086480,2.772498042415667280854232842,50.05195611564,4.350695474792051620440341844
2025-08-23T14:33:00.728602Z,115043.575,0.01,0.0008692358525888994670063060888,10.457740459,0.9090242944032293850395382793,18.4660921632,1.605138936546434687899780583,32.02559596352,2.783779621201792451251623570,50.19762039194,4.363357135932189172667834775
