ts,mid,position,exposure,realized,unrealized,total,mode
2025-08-23T11:28:47.786653+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:48.054275+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:48.315957+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:48.581836+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:48.851144+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:49.114961+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:49.381702+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:49.648553+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:49.916175+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:50.181842+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:50.446441+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:50.714729+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:50.983166+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:51.252247+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:51.515664+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:51.784988+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:52.048210+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:52.313918+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:52.570448+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:52.835798+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:53.100707+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:53.366247+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:53.637409+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:53.897069+00:00,115482.275,0,0.000,0,0,0,normal
